true_label,pred_label,confidence
Bus,Car & taxi,0.6039432883262634
Bus,Car & taxi,0.48764556646347046
Bus,Car & taxi,0.536429762840271
Bike,Bus,0.4193488657474518
Walk,Subway,0.33608758449554443
Car & taxi,Train,0.5090928673744202
Bus,Car & taxi,0.4808504283428192
Bus,Car & taxi,0.5187819600105286
Bus,Car & taxi,0.4739395081996918
Bus,Car & taxi,0.5606397986412048
Bus,Car & taxi,0.43316805362701416
Bus,Walk,0.45532307028770447
Bike,Bus,0.4324685037136078
Car & taxi,Bike,0.38038256764411926
Car & taxi,Bike,0.6229405999183655
Bus,Car & taxi,0.5066016316413879
Car & taxi,Train,0.6608688831329346
Bus,Car & taxi,0.4363270401954651
Train,Bus,0.4455479383468628
Bike,Bus,0.4555152356624603
Bus,Walk,0.5692914128303528
Bike,Walk,0.659031093120575
Bus,Walk,0.4092227816581726
Bike,Bus,0.4922086000442505
Walk,Bike,0.5930445790290833
Bike,Bus,0.5372204184532166
Bus,Walk,0.354465514421463
Subway,Car & taxi,0.5987075567245483
Bus,Walk,0.5764967203140259
Bus,Walk,0.6571190357208252
Bus,Walk,0.3214987516403198
Bus,Car & taxi,0.5455483794212341
Car & taxi,Train,0.4412117004394531
Subway,Walk,0.6427186131477356
Bus,Car & taxi,0.5068464875221252
Car & taxi,Walk,0.5233632922172546
Bus,Bike,0.3369686007499695
Car & taxi,Train,0.6912660002708435
Bus,Car & taxi,0.5886910557746887
Car & taxi,Bus,0.4819529056549072
Bus,Walk,0.5010398030281067
Bus,Car & taxi,0.4751076400279999
Walk,Bike,0.2733079195022583
Bike,Bus,0.41031381487846375
Bus,Walk,0.6365549564361572
Bus,Walk,0.6547937393188477
Bus,Car & taxi,0.47166404128074646
Bus,Car & taxi,0.6080220341682434
Subway,Walk,0.6740257740020752
Walk,Bike,0.4278813600540161
Bus,Car & taxi,0.44623351097106934
Car & taxi,Subway,0.47301799058914185
Bus,Car & taxi,0.5229654908180237
Bike,Bus,0.33745333552360535
Bike,Walk,0.5665703415870667
Walk,Bike,0.5331627130508423
Walk,Bike,0.2768174111843109
Bus,Walk,0.5790135264396667
Bus,Car & taxi,0.4201757609844208
Bus,Car & taxi,0.4685443937778473
Bus,Car & taxi,0.42323318123817444
Bus,Car & taxi,0.4576520323753357
Bus,Train,0.3784489035606384
Bus,Car & taxi,0.5207645893096924
Subway,Walk,0.4260072708129883
Bus,Car & taxi,0.6315191984176636
Bus,Car & taxi,0.5513632893562317
Car & taxi,Bus,0.43793174624443054
Walk,Bike,0.5227500796318054
Car & taxi,Walk,0.46207407116889954
Bus,Bike,0.3303806781768799
Bus,Walk,0.5394369959831238
Walk,Bike,0.6290449500083923
Bus,Car & taxi,0.5135558843612671
Bus,Subway,0.41328510642051697
Bus,Subway,0.2534504234790802
Car & taxi,Train,0.7447954416275024
Subway,Bus,0.5511714816093445
Car & taxi,Bus,0.49117138981819153
Bus,Car & taxi,0.5325703620910645
Bus,Car & taxi,0.5486380457878113
Bus,Bike,0.3393462896347046
Bike,Walk,0.3449493646621704
Bus,Walk,0.5589649081230164
Walk,Bike,0.3244023323059082
Bus,Bike,0.4661908447742462
Bus,Bike,0.3665649890899658
Car & taxi,Train,0.7086572051048279
Bike,Bus,0.511050820350647
Car & taxi,Bus,0.4803715944290161
Bus,Car & taxi,0.6132970452308655
Bus,Car & taxi,0.5237255692481995
Car & taxi,Walk,0.5805549621582031
Bus,Car & taxi,0.5520486831665039
Bus,Bike,0.4264945685863495
Bus,Car & taxi,0.5993455052375793
