true_label,pred_label,confidence
Bus,Car & taxi,0.8110582828521729
Train,Car & taxi,0.5971933007240295
Bus,Car & taxi,0.645189106464386
Bus,Car & taxi,0.6151883602142334
Bike,Bus,0.6938531994819641
Bus,Car & taxi,0.7935660481452942
Bus,Walk,0.9119840264320374
Walk,Subway,0.4951882064342499
Car & taxi,Bus,0.5289824604988098
Car & taxi,Walk,0.899869978427887
Car & taxi,Train,0.9179502725601196
Walk,Bike,0.40931862592697144
Train,Bus,0.5490710139274597
Bike,Bus,0.6478180289268494
Bus,Walk,0.9906091690063477
Bus,Car & taxi,0.6033826470375061
Bike,Walk,0.7728503942489624
Bus,Walk,0.8584508299827576
Walk,Bike,0.8611885905265808
Bike,Bus,0.9564449787139893
Walk,Car & taxi,0.29071757197380066
Subway,Car & taxi,0.917103111743927
Bus,Walk,0.5148801803588867
Bus,Walk,0.9833133816719055
Bus,Walk,0.6020479202270508
Bus,Car & taxi,0.7692049145698547
Subway,Walk,0.9797200560569763
Car & taxi,Walk,0.9882103204727173
Bus,Bike,0.804774820804596
Car & taxi,Train,0.9691081643104553
Bus,Car & taxi,0.9010393619537354
Walk,Subway,0.7148898243904114
Car & taxi,Bus,0.80115807056427
Bus,Walk,0.9699530601501465
Bus,Car & taxi,0.7358880043029785
Bus,Walk,0.9836440682411194
Bus,Walk,0.9849686026573181
Bus,Car & taxi,0.8449707627296448
Bus,Car & taxi,0.8973945379257202
Subway,Walk,0.9716814756393433
Car & taxi,Subway,0.5282682776451111
Bus,Car & taxi,0.5951545834541321
Bike,Walk,0.969309389591217
Walk,Bike,0.6540181636810303
Bus,Walk,0.3659897744655609
Bus,Car & taxi,0.546860933303833
Bus,Walk,0.44354167580604553
Bus,Train,0.697351336479187
Bus,Car & taxi,0.6408889293670654
Subway,Walk,0.7354341745376587
Bus,Car & taxi,0.6235039830207825
Bus,Bike,0.5464339256286621
Bus,Car & taxi,0.709058940410614
Bus,Car & taxi,0.8742306232452393
Car & taxi,Bus,0.5258125066757202
Car & taxi,Bus,0.7574950456619263
Bus,Walk,0.9658434391021729
Walk,Bike,0.9228222966194153
Bus,Car & taxi,0.8156429529190063
Bus,Car & taxi,0.4080454111099243
Car & taxi,Train,0.9758144021034241
Bus,Bike,0.5808547735214233
Subway,Bus,0.8053858876228333
Car & taxi,Bus,0.7987166047096252
Bus,Car & taxi,0.8286583423614502
Bus,Car & taxi,0.8883393406867981
Bus,Walk,0.7995942234992981
Walk,Bike,0.7544320225715637
Bus,Bike,0.8898720741271973
Bus,Bike,0.8846553564071655
Car & taxi,Train,0.9788778424263
Bike,Bus,0.8297851085662842
Car & taxi,Bus,0.6946138739585876
Bus,Car & taxi,0.7286513447761536
Bus,Car & taxi,0.8018343448638916
Car & taxi,Walk,0.915560781955719
Bus,Car & taxi,0.8010678887367249
Bus,Bike,0.6850324869155884
Bus,Car & taxi,0.8123272657394409
