true_label,pred_label,confidence
Bus,Bike,0.6559457182884216
Bus,Car & taxi,0.6849269866943359
Train,Car & taxi,0.5809581875801086
Bus,Car & taxi,0.5881627202033997
Bike,Bus,0.5678353309631348
Car & taxi,Train,0.6697208285331726
Bus,Car & taxi,0.5340432524681091
Bus,Car & taxi,0.6117982268333435
Bus,Walk,0.9450893998146057
Walk,Subway,0.49159935116767883
Bike,Bus,0.3875213861465454
Car & taxi,Bus,0.5044139623641968
Car & taxi,Bike,0.8194102644920349
Car & taxi,Train,0.8091112375259399
Train,Bike,0.5872953534126282
Bus,Walk,0.9943236112594604
Bike,Walk,0.592318594455719
Bus,Subway,0.42713168263435364
Bike,Bus,0.872332751750946
Walk,Bike,0.5258427858352661
Bike,Bus,0.9065061211585999
Bus,Walk,0.5113551616668701
Subway,Car & taxi,0.9344334602355957
Bus,Walk,0.6469660997390747
Bus,Walk,0.9836587309837341
Bus,Car & taxi,0.6087586879730225
Car & taxi,Train,0.5886185169219971
Subway,Walk,0.9805634021759033
Car & taxi,Walk,0.9886387586593628
Bus,Bike,0.6245425939559937
Car & taxi,Train,0.9785993099212646
Bus,Car & taxi,0.8989328145980835
Walk,Subway,0.39737358689308167
Car & taxi,Bus,0.7261180281639099
Bus,Walk,0.9531159400939941
Bus,Walk,0.985062837600708
Bus,Walk,0.9682222604751587
Bus,Car & taxi,0.8253344893455505
Bus,Car & taxi,0.8066616654396057
Subway,Walk,0.9810830950737
Walk,Bike,0.7577366232872009
Bus,Bike,0.6285642385482788
Car & taxi,Subway,0.5509539842605591
Bus,Car & taxi,0.8242445588111877
Bike,Walk,0.7447494268417358
Walk,Bike,0.7817001342773438
Walk,Bike,0.6706748604774475
Bus,Walk,0.7840741872787476
Bus,Walk,0.43887436389923096
Bus,Bike,0.43715009093284607
Bus,Train,0.4707466959953308
Car & taxi,Bus,0.6330167055130005
Bus,Car & taxi,0.5678048133850098
Subway,Walk,0.9736894369125366
Bus,Car & taxi,0.6119102835655212
Bus,Car & taxi,0.8341974020004272
Car & taxi,Bus,0.7072521448135376
Car & taxi,Bus,0.6760823726654053
Walk,Bike,0.8031749129295349
Car & taxi,Walk,0.9163209795951843
Bus,Bike,0.6571010947227478
Bus,Walk,0.9524155855178833
Walk,Bike,0.972531259059906
Bus,Car & taxi,0.8410943150520325
Bus,Car & taxi,0.34412381052970886
Car & taxi,Train,0.9831658601760864
Subway,Bus,0.6509585380554199
Car & taxi,Bus,0.5182359218597412
Bus,Car & taxi,0.5596113204956055
Bus,Car & taxi,0.8996145725250244
Walk,Subway,0.4415968954563141
Bus,Bike,0.6951907873153687
Bus,Walk,0.5437884330749512
Walk,Bus,0.2592110335826874
Bus,Bike,0.9105482697486877
Bus,Bike,0.8605185151100159
Car & taxi,Train,0.9816731214523315
Car & taxi,Bus,0.8451376557350159
Bus,Car & taxi,0.7194756865501404
Bus,Car & taxi,0.5954135060310364
Car & taxi,Bus,0.29344648122787476
Walk,Bike,0.49719202518463135
Bus,Bike,0.7278622388839722
Bus,Car & taxi,0.6804623603820801
